Unnamed: 0,barangay,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude,district
24,Bagong Lipunan ng Crame,wdc np assessment cntr psychiatric clinic,"room 503 unit j, camus bldg., edsa, bagong lipunan ng crame, quezon city, ncr, 1111","room 503 unit j, camus Building, edsa, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61127632,121.0546532,4.0
25,Bagong Lipunan ng Crame,ram-ce psychological & diagnostic center inc.,"#1-b, medina bldg.  3rd ave. cor.,, b. serrano ave, bagong lipunan ng crame, quezon city, ncr, 1111","#1-b, medina Building 3rd Avenue corner, b. serrano ave, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61041249,121.0531287,4.0
26,Bagong Lipunan ng Crame,"bridgesofhope (q.c.), inc.","#12, orestes lane, bagong lipunan ng crame, quezon city, ncr, 1111","#12, orestes lane, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,,Rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61077538,121.0466161,4.0
27,Bagong Pag-asa,Kampilan I,"Hona St., San Roque","Hona Street, San Roque, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,1.0
28,Bagong Pag-asa,"ikigai wellness solutions, inc.","nb 311b - nb 312 3rd flr., sm city , north edsa, bagong pag-asa, quezon city, ncr, 1105","nb 311b - nb 312 3rd Floor, sm city , north edsa, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",10:00AM,9:00PM,,,1.0
29,Bagong Pag-asa,friends therapy center inc.,"unit 105, vien plaza building, no 13, road 13, bagong pag-asa, quezon city, ncr, 1105","unit 105, vien plaza building, no 13, road 13, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,5:00PM,14.66020009,121.0354568,1.0
30,Bagong Pag-asa,Bagong Pag-asa,"36 Road 9 cor. Road 10, Brgy. Bagong Pag-asa","36 Road 9 corner Road 10, Barangay Bagong Pag-asa, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.6620891,121.0342136,1.0
31,Bagong Pag-asa,createch wellness corp.,"level 3 space # r3-l3-031, ayala vertis, north cor. north ave., bagong pag-asa, quezon city, ncr, 1105","level 3 space # r3-l3-031, ayala vertis, north corner north Avenue, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",11:00AM,8:00PM,,,1.0
32,Bagong Pag-asa,gestalt neuropsychological and psychological services,"unit 202 2nd flr., ccs bldg., blk. 10, lot 39, road 1 corner road 8, bagong pag-asa, quezon city, ncr, 1105","unit 202 2nd Floor, ccs Building, blk. 10, lot 39, road 1 corner road 8, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.66207711,121.0319526,1.0
33,Bagong Pag-asa,"saint paul educational center bago-bantay, inc.","38, palawan st., bagong pag-asa, quezon city, ncr, 1105","38, palawan Street, bagong pag-asa, quezon city, ncr, 1105, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,,,1.0
34,Bagong Pag-asa,good grounds spa ventures corp.,"room 817 & 818, park inn by radisson hotel, sm city north edsa, bagong pag-asa, quezon city, ncr, 1105","room 817 & 818, park inn by radisson hotel, sm city north edsa, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",12:00PM,9:00PM,,,1.0
35,Bagong Pag-asa,good grounds spa ventures corp.,"mu 262, north towers,, sm north edsa, bagong pag-asa, quezon city, ncr, 1105","mu 262, north towers, sm north edsa, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",10:00AM,9:00PM,14.6608,121.033,1.0
36,Bagong Pag-asa,Philippine Children’s Medical Center,"Quezon Avenue cor. Sen. Miriam Defensor-Santiago Avenue, Bagong Pag-asa","Philippine Children’s Medical Center Quezon Avenue corner Sen. Miriam Defensor-Santiago Avenue, Bagong Pag-asa, Quezon City, Philippines",Health centers,,National government-owned hospitals,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,,,1.0
37,Bagong Pag-asa,Bagong Pag-asa,Road 9 cor. Road 11,"Road 9 corner Road 11, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.66233419,121.0330115,1.0
38,Bagong Pag-asa,scottland inc.,"space 307293, trinoma edsa cor, bagong pag-asa, quezon city, ncr, 1105","space 307293, trinoma edsa corner, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,8:00PM,14.6608,121.033,1.0
39,Bagong Pag-asa,"centris education solutions institute, inc.","16th floor, kmc sm north tower 1, edsa cor north avenue, bagong pag-asa, quezon city, ncr, 1105","16th floor, kmc sm north tower 1, edsa corner north avenue, bagong pag-asa, quezon city, ncr, 1105, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",10:00AM,7:00PM,14.65529699,121.0303692,1.0
40,Bagong Silangan,Asprer,"Area 6, Bgy. Bagong Silangan, Brgy. Bagong Silangan","Area 6, Barangay Bagong Silangan, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.698957,121.0982875,2.0
