,barangay,district,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude
23,Bagong Lipunan ng Crame,4,"joyful hands kiddie center of cubao, q.c., inc.","unit 4, corporate house bldg., 239 boni serrano road, bagong lipunan ng crame, quezon city, ncr, 1111","unit 4, corporate house Building, 239 boni serrano road, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",9:00AM,5:00PM,14.60944111,121.0436342
24,Bagong Lipunan ng Crame,4,wdc np assessment cntr psychiatric clinic,"room 503 unit j, camus bldg., edsa, bagong lipunan ng crame, quezon city, ncr, 1111","room 503 unit j, camus Building, edsa, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,#N/A,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61127632,121.0546532
25,Bagong Lipunan ng Crame,4,ram-ce psychological & diagnostic center inc.,"#1-b, medina bldg.  3rd ave. cor.,, b. serrano ave, bagong lipunan ng crame, quezon city, ncr, 1111","#1-b, medina Building 3rd Avenue corner, b. serrano ave, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,#N/A,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61041249,121.0531287
26,Bagong Lipunan ng Crame,4,"bridgesofhope (q.c.), inc.","#12, orestes lane, bagong lipunan ng crame, quezon city, ncr, 1111","#12, orestes lane, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,#N/A,Rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61077538,121.0466161
27,Bagong Pag-asa,1,Kampilan I,"Hona St., San Roque","Hona Street, San Roque, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
28,Bagong Pag-asa,1,"ikigai wellness solutions, inc.","nb 311b - nb 312 3rd flr., sm city , north edsa, bagong pag-asa, quezon city, ncr, 1105","nb 311b - nb 312 3rd Floor, sm city , north edsa, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",10:00AM,9:00PM,#N/A,#N/A
29,Bagong Pag-asa,1,friends therapy center inc.,"unit 105, vien plaza building, no 13, road 13, bagong pag-asa, quezon city, ncr, 1105","unit 105, vien plaza building, no 13, road 13, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,#N/A,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,5:00PM,14.66020009,121.0354568
30,Bagong Pag-asa,1,Bagong Pag-asa,"36 Road 9 cor. Road 10, Brgy. Bagong Pag-asa","36 Road 9 corner Road 10, Barangay Bagong Pag-asa, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.6620891,121.0342136
31,Bagong Pag-asa,1,createch wellness corp.,"level 3 space # r3-l3-031, ayala vertis, north cor. north ave., bagong pag-asa, quezon city, ncr, 1105","level 3 space # r3-l3-031, ayala vertis, north corner north Avenue, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",11:00AM,8:00PM,#N/A,#N/A
32,Bagong Pag-asa,1,gestalt neuropsychological and psychological services,"unit 202 2nd flr., ccs bldg., blk. 10, lot 39, road 1 corner road 8, bagong pag-asa, quezon city, ncr, 1105","unit 202 2nd Floor, ccs Building, blk. 10, lot 39, road 1 corner road 8, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,#N/A,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.66207711,121.0319526
33,Bagong Pag-asa,1,"saint paul educational center bago-bantay, inc.","38, palawan st., bagong pag-asa, quezon city, ncr, 1105","38, palawan Street, bagong pag-asa, quezon city, ncr, 1105, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,#N/A,#N/A
34,Bagong Pag-asa,1,good grounds spa ventures corp.,"room 817 & 818, park inn by radisson hotel, sm city north edsa, bagong pag-asa, quezon city, ncr, 1105","room 817 & 818, park inn by radisson hotel, sm city north edsa, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",12:00PM,9:00PM,#N/A,#N/A
35,Bagong Pag-asa,1,good grounds spa ventures corp.,"mu 262, north towers,, sm north edsa, bagong pag-asa, quezon city, ncr, 1105","mu 262, north towers, sm north edsa, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",10:00AM,9:00PM,14.6608,121.033
36,Bagong Pag-asa,1,Philippine Children’s Medical Center,"Quezon Avenue cor. Sen. Miriam Defensor-Santiago Avenue, Bagong Pag-asa","Philippine Children’s Medical Center Quezon Avenue corner Sen. Miriam Defensor-Santiago Avenue, Bagong Pag-asa, Quezon City, Philippines",Health centers,#N/A,National government-owned hospitals,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,#N/A,#N/A
37,Bagong Pag-asa,1,Bagong Pag-asa,Road 9 cor. Road 11,"Road 9 corner Road 11, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.66233419,121.0330115
38,Bagong Pag-asa,1,scottland inc.,"space 307293, trinoma edsa cor, bagong pag-asa, quezon city, ncr, 1105","space 307293, trinoma edsa corner, bagong pag-asa, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,8:00PM,14.6608,121.033
39,Bagong Pag-asa,1,"centris education solutions institute, inc.","16th floor, kmc sm north tower 1, edsa cor north avenue, bagong pag-asa, quezon city, ncr, 1105","16th floor, kmc sm north tower 1, edsa corner north avenue, bagong pag-asa, quezon city, ncr, 1105, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",10:00AM,7:00PM,14.65529699,121.0303692
