district,seniors_registered,pwd_registered,source
1,62378.0,14823,demographics_by_district.csv
2,76890.0,18553,demographics_by_district.csv
3,52046.0,15682,demographics_by_district.csv
4,64402.0,18122,demographics_by_district.csv
5,77249.0,20030,demographics_by_district.csv
6,64665.0,16975,demographics_by_district.csv
