name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
"Philippine Institute of Quezon City, Inc.","62 Kitanlad St., Brgy. Doña Josefa, Quezon City","62 Kitanlad Street, Barangay Doña Josefa, Quezon City, Philippines",Doña Josefa,4.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0088707,14.6189609,,,,,Administrative data
"Philippine Institute of Quezon City, Inc.","62 Kitanlad St., Brgy. Doña Josefa, Quezon City","62 Kitanlad Street, Barangay Doña Josefa, Quezon City, Philippines",Doña Josefa,4.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0088707,14.6189609,,,,,Administrative data
"Philippine Institute of Quezon City, Inc.","62 Kitanlad St., Brgy. Doña Josefa, Quezon City","62 Kitanlad Street, Barangay Doña Josefa, Quezon City, Philippines",Doña Josefa,4.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0088707,14.6189609,,,,,Administrative data
"Philippine Institute of Quezon City, Inc.","62 Kitanlad St., Brgy. Doña Josefa, Quezon City","62 Kitanlad Street, Barangay Doña Josefa, Quezon City, Philippines",Doña Josefa,4.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0088707,14.6189609,,,,,Administrative data
Philippine Lyceum of Saint Dominique Inc.,"#3 Calderon St. Matandang Balara, Quezon City","3 Calderon Street Matandang Balara, Quezon City, Philippines",Matandang Balara,3.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0767493,14.6684537,,,,,Administrative data
Philippine Lyceum of Saint Dominique Inc.,"#3 Calderon St. Matandang Balara, Quezon City","3 Calderon Street Matandang Balara, Quezon City, Philippines",Matandang Balara,3.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0767493,14.6684537,,,,,Administrative data
Philippine Lyceum of Saint Dominique Inc.,"#3 Calderon St. Matandang Balara, Quezon City","3 Calderon Street Matandang Balara, Quezon City, Philippines",Matandang Balara,3.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0767493,14.6684537,,,,,Administrative data
Philippine Lyceum of Saint Dominique Inc.,"#3 Calderon St. Matandang Balara, Quezon City","3 Calderon Street Matandang Balara, Quezon City, Philippines",Matandang Balara,3.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0767493,14.6684537,,,,,Administrative data
Philippine Montessori Center,"27 Queensville St., Whiteplains, Quezon City","27 Queensville Street, Whiteplains, Quezon City, Philippines",White Plains,3.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.072835,14.605951,,,,,Administrative data
Philippine Montessori Center,"27 Queensville St., Whiteplains, Quezon City","27 Queensville Street, Whiteplains, Quezon City, Philippines",White Plains,3.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.072835,14.605951,,,,,Administrative data
