name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
Mariblo,#1 Bernardo St. cor. San Pedro Bautista,"1 Bernardo Street corner San Pedro Bautista, Quezon City, Philippines",Mariblo,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0140603,14.6333093,,,,,Administrative data
Marilag I,"Plaza Camerino, Camerino St., Brgy. Marilag","Plaza Camerino, Camerino Street, Barangay Marilag, Quezon City, Philippines",Marilag,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0680492,14.6250779,,,,,Administrative data
Marilag II,"Plaza Camerino, Camerino St., Brgy. Marilag","Plaza Camerino, Camerino Street, Barangay Marilag, Quezon City, Philippines",Marilag,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0680492,14.6250779,,,,,Administrative data
Masagana,"7 Conchu St., Project 4, Brgy. Masagana","7 Conchu Street, Project 4, Barangay Masagana, Quezon City, Philippines",Masagana,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0659465,14.6177431,,,,,Administrative data
MASARNA,"201 Mabuhay Compd., Sauyo Rd.","201 Mabuhay Compd., Sauyo Road, Quezon City, Philippines",Sauyo,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0450331,14.6937297,,,,,Administrative data
Matutum,Multi-Purpose Hall,"Multi-Purpose Hall, Quezon City, Philippines",Manresa,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,120.9977286,14.6420997,,,,,Administrative data
Mendez,Mendez Road,"Mendez Road, Quezon City, Philippines",Baesa,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0129543,14.6687855,,,,,Administrative data
Metro Heights,"Adelfa Metro Heights, Visayas Ave.","Adelfa Metro Heights, Visayas Avenue, Quezon City, Philippines",Culiat,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0464845,14.6651425,,,,,Administrative data
Milagrosa,"5K Oval Belarmino St., Brgy. Milagrosa","5K Oval Belarmino Street, Barangay Milagrosa, Quezon City, Philippines",Milagrosa,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0686657,14.6199167,,,,,Administrative data
Milenyo,"Milenyo Daycare Center Building, Milenyo St. Phase 8-I, Brgy. North Fairview","Milenyo Daycare Center Building, Milenyo Street Phase 8-I, Barangay North Fairview, Quezon City, Philippines",North Fairview,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0575168,14.7058955,,,,,Administrative data
mind specialists school inc.,"152-d, d. tuazon st. , don manuel, quezon city, ncr, 1113","152-d, d. tuazon Street , don manuel, quezon city, ncr, 1113, Philippines",Don Manuel,4.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",6:00 AM,7:00 PM,,,,,,,Administrative data
MMTC,"Basilio St., cor Republic Ave., Brgy. Fairview","Basilio Street, corner Republic Avenue, Barangay Fairview, Quezon City, Philippines",Fairview,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Mockingbird,"Barangay Kaligayahan Hall, Mockingbird St. Zabarte Subd., Brgy. Kaligayahan","Barangay Kaligayahan Hall, Mockingbird Street Zabarte Subdivision, Barangay Kaligayahan, Quezon City, Philippines",Kaligayahan,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0508255,14.738132,,,,,Administrative data
Molave,"Molave St., near Tahanan, Brgy. Payatas","Molave Street, near Tahanan, Barangay Payatas, Quezon City, Philippines",Payatas,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0964194,14.712083,,,,,Administrative data
Mutya,"Mutya St., Brgy. Payatas","Mutya Street, Barangay Payatas, Quezon City, Philippines",Payatas,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
N.S. Amoranto,Barangay Hall Angelo St.,"Barangay Hall Angelo Street, Quezon City, Philippines",N. S. Amoranto (Gintong Silahis),1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,120.9944224,14.6326976,,,,,Administrative data
Nagkaisang Nayon I,"Barangay Hall Compound., #7 Banahaw St. Brgy. Nagkaisang Nayon","Barangay Hall Compound., 7 Banahaw Street Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0287045,14.7186814,,,,,Administrative data
Nagkaisang Nayon II,"Barangay Hall Compound., #7 Banahaw St. Brgy. Nagkaisang Nayon","Barangay Hall Compound., 7 Banahaw Street Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0287045,14.7186814,,,,,Administrative data
NAMAPA,"NAMAPA Compound, Brgy. North Fairview","NAMAPA Compound, Barangay North Fairview, Quezon City, Philippines",North Fairview,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0643456,14.7066635,,,,,Administrative data
Narra,"Barangay Hall Building, Sampaguita St., Area 5","Barangay Hall Building, Sampaguita Street, Area 5, Quezon City, Philippines",Capri,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Narraville,"Lower Narra St., Brgy. Payatas","Lower Narra Street, Barangay Payatas, Quezon City, Philippines",Payatas,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0923986,14.7118981,,,,,Administrative data
Nayong Kanluran,37 Sorsogon St.,"37 Sorsogon Street, Quezon City, Philippines",Nayong Kanluran,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
niño's reading and tutorial services,"room 306 , 3rd floor , 37 matalino street , central, quezon city, ncr, 1100","room 306 , 3rd floor , 37 matalino street , central, quezon city, ncr, 1100, Philippines",Central,4.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00 AM,5:00 PM,121.0525461,14.6454887,,,,,Administrative data
Nitang,# 47 Nitang Avenue Brgy Gulod,"47 Nitang Avenue Barangay Gulod, Quezon City, Philippines",Gulod,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0421898,14.7128521,,,,,Administrative data
Nomar 2,"Santan St., Nomar Subd., Brgy. San Bartolome","Santan Street, Nomar Subdivision, Barangay San Bartolome, Quezon City, Philippines",San Bartolome,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0410703,14.7011827,,,,,Administrative data
Nova Homes,"Narra St., Nova Homes Subd. Brgy. San Agustin","Narra Street, Nova Homes Subdivision Barangay San Agustin, Quezon City, Philippines",San Agustin,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0375849,14.7345815,,,,,Administrative data
Novaliches Proper I,"3rd Floor, Livelihood CHILD DEVELOPMENT CENTER Bldg., Nova Plaza, Buenamar St.,Brgy. Novaliches Proper","3rd Floor, Livelihood CHILD DEVELOPMENT CENTER Building, Nova Plaza, Buenamar Street,Barangay Novaliches Proper, Quezon City, Philippines",Novaliches Proper,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0402346,14.7214471,,,,,Administrative data
Novaliches Proper II,"2nd Floor Multi-purpose Bldg., P. Tupaz St., Doña Rosario, Brgy. Novaliches Proper","2nd Floor Multi-purpose Building, P. Tupaz Street, Doña Rosario, Barangay Novaliches Proper, Quezon City, Philippines",Novaliches Proper,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0352782,14.7190257,,,,,Administrative data
numberninjas co.,"5th flr.u-504, hemady square, 86, dona hemady street, corner e. rodriguez sr.avenue, kristong hari, quezon city, ncr, 1112","5th Flooru-504, hemady square, 86, dona hemady street, corner e. rodriguez sr.avenue, kristong hari, quezon city, ncr, 1112, Philippines",E. Rodriguez,3.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",10:00 AM,6:00 PM,,,,,,,Administrative data
Obrero,"Brgy. Obrero Bgy Hall, Parkway St. cor. Tomas Morato Ave.","Barangay Obrero Bgy Hall, Parkway Street corner Tomas Morato Avenue, Quezon City, Philippines",Obrero,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0316191,14.6285296,,,,,Administrative data
Old Cabuyao,15 Old Cabuyao,"15 Old Cabuyao, Quezon City, Philippines",Sauyo,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Old Capitol Site,Masaya St. Interior (near Bgy. Hall) Brgy. Old Capitol Site,"Masaya Street Interior (near Barangay Hall) Barangay Old Capitol Site, Quezon City, Philippines",Old Capitol Site,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Oliveros,26 M Oliveros Drive (Dulo),"26 M Oliveros Drive (Dulo), Quezon City, Philippines",Apolonio Samson,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0071352,14.6608605,,,,,Administrative data
Paang Bundok,"Barangay Hall 166 Iriga St., La Loma","Barangay Hall 166 Iriga Street, La Loma, Quezon City, Philippines",Paang Bundok,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,120.9930304,14.627851,,,,,Administrative data
Pag-ibig sa Nayon,23 J. Pineda St.,"23 J. Pineda Street, Quezon City, Philippines",Pag-ibig sa Nayon,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Palanza,#38 Kapiligan St. Brgy. Doña Imelda,"38 Kapiligan Street Barangay Doña Imelda, Quezon City, Philippines",Doña Imelda,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.01952,14.6104638,,,,,Administrative data
Paligsahan,Roces Avenue Brgy. Paligsahan,"Roces Avenue Barangay Paligsahan, Quezon City, Philippines",Paligsahan,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.020908,14.6316818,,,,,Administrative data
Palmera,"Multi-purpose Hall Mangga St. Phase I-A Palmera Homes, Brgy. Sta Monica","Multi-purpose Hall Mangga Street Phase I-A Palmera Homes, Barangay Sta Monica, Quezon City, Philippines",Sta. Monica,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0512671,14.712599,,,,,Administrative data
Paltok,"Brgy. Hall, Mendoza cor. Basa","Barangay Hall, Mendoza corner Basa, Quezon City, Philippines",Paltok,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Pansol Proper,"SK Building Plaza St., Barangay Hall, Brgy. Pansol","SK Building Plaza Street, Barangay Hall, Barangay Pansol, Quezon City, Philippines",Pansol,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0764168,14.6509208,,,,,Administrative data
Pasacola I,"Blk 1, Dormitory Phase 1 (Nagkakaisang Lakas) , Brgy. Nagkaisang Nayon","Blk 1, Dormitory Phase 1 (Nagkakaisang Lakas) , Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0323356,14.7130686,,,,,Administrative data
Pasacola II,"Lot 158-B, Area C, Pasacola, Brgy. Nagkaisang Nayon","Lot 158-B, Area C, Pasacola, Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0322739,14.7174806,,,,,Administrative data
Pechayan,"Block 31 Lot 23 Ilang-Ilang St. Pechayan Kanan, Maligaya Park, Brgy. Pasong Putik","Block 31 Lot 23 Ilang-Ilang Street Pechayan Kanan, Maligaya Park, Barangay Pasong Putik, Quezon City, Philippines",Pasong Putik Proper,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Pechayan,Zone 1 Brgy. Old Capitol Site,"Zone 1 Barangay Old Capitol Site, Quezon City, Philippines",Old Capitol Site,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Phase 8-I,"1st Floor Daycare and Livelihood Center Building, Peso St., United North Fairview Subd., Brgy. North Fairview","1st Floor Daycare and Livelihood Center Building, Peso Street, United North Fairview Subdivision, Barangay North Fairview, Quezon City, Philippines",North Fairview,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0619215,14.7082699,,,,,Administrative data
Phase 8-II,"2nd Floor Daycare and Livelihood Center Building, Peso St., United North Fairview Subd., Brgy. North Fairview","2nd Floor Daycare and Livelihood Center Building, Peso Street, United North Fairview Subdivision, Barangay North Fairview, Quezon City, Philippines",North Fairview,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0619215,14.7082699,,,,,Administrative data
Phase IV-A,"Ground floor, Livelihood Center, Davao St., Phase IV, Brgy. Payatas","Ground floor, Livelihood Center, Davao Street, Phase IV, Barangay Payatas, Quezon City, Philippines",Payatas,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0967714,14.7117824,,,,,Administrative data
Phase IV-B,"2nd floor, Livelihood Center, Davao St., Phase IV, Brgy. Payatas","2nd floor, Livelihood Center, Davao Street, Phase IV, Barangay Payatas, Quezon City, Philippines",Payatas,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0967714,14.7117824,,,,,Administrative data
Pinadama,"Pinadama Pilot Drive, Brgy. Commonwealth","Pinadama Pilot Drive, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0796269,14.6979794,,,,,Administrative data
Pinagkaisahan,Ermin Garcia St. (near Bernardo Park),"Ermin Garcia Street (near Bernardo Park), Quezon City, Philippines",Pinagkaisahan,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0462876,14.6279346,,,,,Administrative data
Pingkian 3 Zone 2,"Lily St. Pingkian 3, Zone 2","Lily Street Pingkian 3, Zone 2, Quezon City, Philippines",Pasong Tamo,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.059582,14.6897842,,,,,Administrative data
Pingkian 3 Zone 3,Santan St.,"Santan Street, Quezon City, Philippines",Pasong Tamo,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0573294,14.6898751,,,,,Administrative data
Pingkian II,Pingkian II,"Pingkian II, Quezon City, Philippines",Pasong Tamo,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0585648,14.6812269,,,,,Administrative data
Pinyahan Proper,"#35 Malakas St. Brgy. Hall Compd., Brgy. Pinyahan","35 Malakas Street Barangay Hall Compd., Barangay Pinyahan, Quezon City, Philippines",Pinyahan,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0472844,14.634992,,,,,Administrative data
pio preschool and tutorial center inc.,"ground floor unit 105 , no. 23 panay avenue, paligsahan, quezon city, ncr, 1103","ground floor unit 105 , 23 panay avenue, paligsahan, quezon city, ncr, 1103, Philippines",Paligsahan,4.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00 AM,4:00 PM,121.019994,14.6324722,,,,,Administrative data
Plainville,"St. Joseph St., Plainville Subdivision","Street Joseph Street, Plainville Subdivision, Quezon City, Philippines",Sta. Lucia,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Planas Site,Planas Site III St. Brgy. Kaunlaran,"Planas Site III Street Barangay Kaunlaran, Quezon City, Philippines",Kaunlaran,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
playproject learning center,"ktc phase 2 retail 5 , kanlaon town center, 8 kanlaon street, sta. teresita, quezon city, ncr, 1114","ktc phase 2 retail 5 , kanlaon town center, 8 kanlaon street, sta. teresita, quezon city, ncr, 1114, Philippines",Sta. Teresita,1.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00 AM,5:00 PM,121.0019864,14.6190027,,,,,Administrative data
POCC (Holy Trinity),"Nenita Extn. POCC Compound Area VI, Brgy. Gulod","Nenita Extension POCC Compound Area VI, Barangay Gulod, Quezon City, Philippines",Gulod,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0455461,14.7089561,,,,,Administrative data
Pook Daang Tubo,Pook Daang Tubo Brgy. UP Campus,"Pook Daang Tubo Barangay UP Campus, Quezon City, Philippines",U. P. Campus,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0721082,14.6465459,,,,,Administrative data
Pook Libis,Pook Libis Brgy. UP Campus,"Pook Libis Barangay UP Campus, Quezon City, Philippines",U. P. Campus,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0661317,14.6412698,,,,,Administrative data
Pook Masagana,Alley 25 Pook Masagana,"Alley 25 Pook Masagana, Quezon City, Philippines",Bahay Toro,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0330464,14.672807,,,,,Administrative data
Pook Pag-asa,"B1 L21 Pook Pagasa St., Brgy. Batasan Hills","B1 L21 Pook Pagasa Street, Barangay Batasan Hills, Quezon City, Philippines",Batasan Hills,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Pook Village B,Pook Village B Brgy. UP Campus,"Pook Village B Barangay UP Campus, Quezon City, Philippines",U. P. Campus,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0632682,14.6506523,,,,,Administrative data
prime montessori school inc.,"blk 76, lot 67, ascension avenue, lagro subdivision novaliches, greater lagro, quezon city, ncr, 1100","blk 76, lot 67, ascension avenue, lagro subdivision novaliches, greater lagro, quezon city, ncr, 1100, Philippines",Greater Lagro,5.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00 AM,5:00 PM,121.0675228,14.7324769,,,,,Administrative data
progressive minds learning and tutorial center inc.,"# 2, alabama st. cor e. rodriguez sr. ave, kristong hari, quezon city, ncr, 1112","2, alabama Street corner e. rodriguez sr. ave, kristong hari, quezon city, ncr, 1112, Philippines",E. Rodriguez,3.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00 AM,5:00 PM,,,,,,,Administrative data
Project 6,Alley 3 Project 6,"Alley 3 Project 6, Quezon City, Philippines",Project 6,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0403396,14.6619626,,,,,Administrative data
Purok 12,"Purok 12, Adarna St., Brgy. Commonwealth","Purok 12, Adarna Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0780522,14.694783,,,,,Administrative data
Purok 15,"Purok 15, Pinagnayon St., Brgy. Commonwealth","Purok 15, Pinagnayon Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0764738,14.6963377,,,,,Administrative data
Purok 16,"Unit V, Purok 16, Brgy. Commonwealth","Unit V, Purok 16, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0755651,14.6952315,,,,,Administrative data
Purok 20,"Unit V, Purok 20, Brgy. Commonwealth","Unit V, Purok 20, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.073147,14.6962539,,,,,Administrative data
Purok I,"251 Purok I, Luzon Avenue","251 Purok I, Luzon Avenue, Quezon City, Philippines",Culiat,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Queensland I,"Princess Grace St., Queensland Phase I Subd., Damong Maliit, Brgy. Nagkaisang Nayon","Princess Grace Street, Queensland Phase I Subdivision, Damong Maliit, Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0263914,14.7279337,,,,,Administrative data
Queensland II,"Ground Floor Vargas Building, Blk 5 Lot 14 Ruby St. Queensland 2 Village, Brgy Nagkaisang Nayon","Ground Floor Vargas Building, Blk 5 Lot 14 Ruby Street Queensland 2 Village, Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Quezon City Yakap,"QC Hall Compound, Brgy. Central (Back of QC Public Library)","Quezon City Hall Compound, Barangay Central (Back of Quezon City Public Library), Philippines",Central,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0500976,14.6464639,,,,,Administrative data
Quirino 2A,"Anonas St., Brgy. Quirino 2A","Anonas Street, Barangay Quirino 2A, Quezon City, Philippines",Quirino 2-A,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0591072,14.6313245,,,,,Administrative data
Quirino 2B,"157B Pajo St., cor. Langka, Proj. 2, Brgy. Quirino 2B","157B Pajo Street, corner Langka, Proj. 2, Barangay Quirino 2B, Quezon City, Philippines",Quirino 2-B,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0630891,14.6327333,,,,,Administrative data
Quirino 2C,"179 Bignay St., Project 2, Brgy. Quirino 2C","179 Bignay Street, Project 2, Barangay Quirino 2C, Quezon City, Philippines",Quirino 2-C,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
r and a learning center,"8, 22, shining hope phase 1 hoa roque 1b, napocor village, pasong tamo, quezon city, ncr, 1107","8, 22, shining hope phase 1 hoa roque 1b, napocor village, pasong tamo, quezon city, ncr, 1107, Philippines",Pasong Tamo,6.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00 AM,12:00 PM,,,,,,,Administrative data
Ramon Magsaysay I,Ilocos Sur St.,"Ilocos Sur Street, Quezon City, Philippines",Ramon Magsaysay,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Ramon Magsaysay II,Ilocos Sur St.,"Ilocos Sur Street, Quezon City, Philippines",Ramon Magsaysay,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Redemption 1,Parklane Ext. Gertrudes St. Livelihood Building,"Parklane Extension Gertrudes Street Livelihood Building, Quezon City, Philippines",Sangandaan,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0215639,14.6759374,,,,,Administrative data
Redemption 2,Parklane Ext. Gertrudes St. Livelihood Building,"Parklane Extension Gertrudes Street Livelihood Building, Quezon City, Philippines",Sangandaan,6.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0214655,14.6758698,,,,,Administrative data
Remarville,"Asteroid St. cor. Pisces St., Remarville Subd., Brgy. Bagbag","Asteroid Street corner Pisces Street, Remarville Subdivision, Barangay Bagbag, Quezon City, Philippines",Bagbag,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0388959,14.6956258,,,,,Administrative data
Robina,"Robina Rd. Sierra Vista Subd., Brgy. Nagkaisang Nayon","Robina Road Sierra Vista Subdivision, Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0207475,14.7177044,,,,,Administrative data
Rolling Hills,"Purok 7, Sitio Rolling Hills (Boundary QC & Montalban)","Purok 7, Sitio Rolling Hills (Boundary Quezon City & Montalban), Philippines",Bagong Silangan,2.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.1203098,14.7264678,,,,,Administrative data
Roxas,Champaca cor. Dahlia St. Brgy. Roxas,"Champaca corner Dahlia Street Barangay Roxas, Quezon City, Philippines",Roxas,4.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0198887,14.6287338,,,,,Administrative data
Saint John Masambong I,4 Capuas St.,"4 Capuas Street, Quezon City, Philippines",Masambong,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
Saint John Masambong II,4 Capuas St.,"4 Capuas Street, Quezon City, Philippines",Masambong,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,,,,,Administrative data
"saint martin de porres center, inc.","53, rosario dr. cor. cannon road, mariana, quezon city, ncr, 1112","53, rosario Drive corner cannon road, mariana, quezon city, ncr, 1112, Philippines",Mariana,4.0,Childcare,Private,Day care center,"QC Future Ready dashboard, Childcare",8:00 AM,5:00 PM,121.0409998,14.6215392,,,,,Administrative data
salt and light child care and development inc.,"3rd flr, pinnacle bldg, no. 8 congressional avenue ext. , pasong tamo, quezon city, ncr, 1107","3rd flr, pinnacle bldg, 8 congressional avenue Extension , pasong tamo, quezon city, ncr, 1107, Philippines",Pasong Tamo,6.0,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",9:00 AM,6:00 PM,121.0622212,14.6728339,,,,,Administrative data
Salvacion,#74 Bulusan St.,"74 Bulusan Street, Quezon City, Philippines",Salvacion,1.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,120.9945947,14.6265535,,,,,Administrative data
Samadores,"Area 2, Luzon, Brgy. Matandang Balara","Area 2, Luzon, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3.0,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,121.0689104,14.6703732,,,,,Administrative data
