,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
1326,Quirino 2A,"Anonas St., Brgy. Quirino 2A","Anonas Street, Barangay Quirino 2A, Quezon City, Philippines",Quirino 2-A,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0591072,14.6313245,#N/A,#N/A,#N/A,#N/A,Administrative data
1327,Quirino 2B,"157B Pajo St., cor. Langka, Proj. 2, Brgy. Quirino 2B","157B Pajo Street, corner Langka, Proj. 2, Barangay Quirino 2B, Quezon City, Philippines",Quirino 2-B,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0630891,14.6327333,#N/A,#N/A,#N/A,#N/A,Administrative data
1328,Quirino 2C,"179 Bignay St., Project 2, Brgy. Quirino 2C","179 Bignay Street, Project 2, Barangay Quirino 2C, Quezon City, Philippines",Quirino 2-C,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1333,r and a learning center,"8, 22, shining hope phase 1 hoa roque 1b, napocor village, pasong tamo, quezon city, ncr, 1107","8, 22, shining hope phase 1 hoa roque 1b, napocor village, pasong tamo, quezon city, ncr, 1107, Philippines",Pasong Tamo,6,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,12:00PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1338,Ramon Magsaysay I,Ilocos Sur St.,"Ilocos Sur Street, Quezon City, Philippines",Ramon Magsaysay,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1339,Ramon Magsaysay II,Ilocos Sur St.,"Ilocos Sur Street, Quezon City, Philippines",Ramon Magsaysay,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1346,Redemption 1,Parklane Ext. Gertrudes St. Livelihood Building,"Parklane Extension Gertrudes Street Livelihood Building, Quezon City, Philippines",Sangandaan,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0215639,14.6759374,#N/A,#N/A,#N/A,#N/A,Administrative data
1347,Redemption 2,Parklane Ext. Gertrudes St. Livelihood Building,"Parklane Extension Gertrudes Street Livelihood Building, Quezon City, Philippines",Sangandaan,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0214655,14.6758698,#N/A,#N/A,#N/A,#N/A,Administrative data
1349,Remarville,"Asteroid St. cor. Pisces St., Remarville Subd., Brgy. Bagbag","Asteroid Street corner Pisces Street, Remarville Subdivision, Barangay Bagbag, Quezon City, Philippines",Bagbag,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0388959,14.6956258,#N/A,#N/A,#N/A,#N/A,Administrative data
1358,Robina,"Robina Rd. Sierra Vista Subd., Brgy. Nagkaisang Nayon","Robina Road Sierra Vista Subdivision, Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0207475,14.7177044,#N/A,#N/A,#N/A,#N/A,Administrative data
1359,Rolling Hills,"Purok 7, Sitio Rolling Hills (Boundary QC & Montalban)","Purok 7, Sitio Rolling Hills (Boundary Quezon City & Montalban), Philippines",Bagong Silangan,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1203098,14.7264678,#N/A,#N/A,#N/A,#N/A,Administrative data
1361,Roxas,Champaca cor. Dahlia St. Brgy. Roxas,"Champaca corner Dahlia Street Barangay Roxas, Quezon City, Philippines",Roxas,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0198887,14.6287338,#N/A,#N/A,#N/A,#N/A,Administrative data
1366,Saint John Masambong I,4 Capuas St.,"4 Capuas Street, Quezon City, Philippines",Masambong,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1367,Saint John Masambong II,4 Capuas St.,"4 Capuas Street, Quezon City, Philippines",Masambong,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1372,"saint martin de porres center, inc.","53, rosario dr. cor. cannon road, mariana, quezon city, ncr, 1112","53, rosario Drive corner cannon road, mariana, quezon city, ncr, 1112, Philippines",Mariana,4,Childcare,Private,Day care center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.0409998,14.6215392,#N/A,#N/A,#N/A,#N/A,Administrative data
1390,salt and light child care and development inc.,"3rd flr, pinnacle bldg, no. 8 congressional avenue ext. , pasong tamo, quezon city, ncr, 1107","3rd flr, pinnacle bldg, 8 congressional avenue Extension , pasong tamo, quezon city, ncr, 1107, Philippines",Pasong Tamo,6,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",9:00AM,6:00PM,121.0622212,14.6728339,#N/A,#N/A,#N/A,#N/A,Administrative data
1391,Salvacion,#74 Bulusan St.,"74 Bulusan Street, Quezon City, Philippines",Salvacion,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,120.9945947,14.6265535,#N/A,#N/A,#N/A,#N/A,Administrative data
1392,Samadores,"Area 2, Luzon, Brgy. Matandang Balara","Area 2, Luzon, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0689104,14.6703732,#N/A,#N/A,#N/A,#N/A,Administrative data
1393,SAMAPINA,"Block 1 Lot 60 Sampaguita St. Maligaya Park, Brgy. Pasong Putik Proper","Block 1 Lot 60 Sampaguita Street Maligaya Park, Barangay Pasong Putik Proper, Quezon City, Philippines",Pasong Putik Proper,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0583939,14.7386762,#N/A,#N/A,#N/A,#N/A,Administrative data
1394,Sampaguita,"Sampaguita Compound, Atlas Road, Brgy. San Bartolome","Sampaguita Compound, Atlas Road, Barangay San Bartolome, Quezon City, Philippines",San Bartolome,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0293262,14.713147,#N/A,#N/A,#N/A,#N/A,Administrative data
1402,San Antonio I,173 West Riverside St.,"173 West Riverside Street, Quezon City, Philippines",San Antonio,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0142544,14.6516477,#N/A,#N/A,#N/A,#N/A,Administrative data
1403,San Antonio II,47 Guerrero St.,"47 Guerrero Street, Quezon City, Philippines",San Antonio,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1404,San Antonio III,"Lot 5 Alley 7, 31 San Jose St.","Lot 5 Alley 7, 31 San Jose Street, Quezon City, Philippines",San Antonio,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1411,San Isidro Galas,"Brgy. San Isidro Galas Bgy. Hall Compound, Unang Hakbang St.","Barangay San Isidro Galas Barangay Hall Compound, Unang Hakbang Street, Quezon City, Philippines",San Isidro,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0085556,14.61146,#N/A,#N/A,#N/A,#N/A,Administrative data
1412,San Isidro Labrador,#91 Halcon St.,"91 Halcon Street, Quezon City, Philippines",San Isidro Labrador,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1417,San Jose,80 Tendido St.,"80 Tendido Street, Quezon City, Philippines",San Jose,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,120.9943232,14.6432395,#N/A,#N/A,#N/A,#N/A,Administrative data
1421,San Jose Seminary I,"Road 19 Bahay Toro, Proj. 8","Road 19 Bahay Toro, Proj. 8, Quezon City, Philippines",Bahay Toro,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0200335,14.664437,#N/A,#N/A,#N/A,#N/A,Administrative data
1422,San Jose Seminary II,Road 19 Bahay Toro Proj. 8,"Road 19 Bahay Toro Proj. 8, Quezon City, Philippines",Bahay Toro,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0200335,14.664437,#N/A,#N/A,#N/A,#N/A,Administrative data
1427,San Martin de Porres Annex,Conrado Benitez St. Brgy. San Martin de Porres,"Conrado Benitez Street Barangay San Martin de Porres, Quezon City, Philippines",San Martin de Porres,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1428,San Martin de Porres I,Conrado Benitez St. Brgy. San Martin de Porres,"Conrado Benitez Street Barangay San Martin de Porres, Quezon City, Philippines",San Martin de Porres,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1429,San Pedro IX,Santan St. San Pedro IX Subd. Brgy. Bagbag,"Santan Street San Pedro IX Subdivision Barangay Bagbag, Quezon City, Philippines",Bagbag,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.021331,14.7008367,#N/A,#N/A,#N/A,#N/A,Administrative data
1430,San Roque,"85 19th ave., Brgy. San Roque","85 19th Avenue, Barangay San Roque, Quezon City, Philippines",San Roque,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0633231,14.6185279,#N/A,#N/A,#N/A,#N/A,Administrative data
1431,San Vicente,Fatima St. cor. Maayusin Ext. Brgy. San Vicente,"Fatima Street corner Maayusin Extension Barangay San Vicente, Quezon City, Philippines",San Vicente,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0560736,14.6526008,#N/A,#N/A,#N/A,#N/A,Administrative data
1437,santa rafaela maria school quezon city inc.,"#55, salvador, loyola heights, quezon city, ncr, 1108","55, salvador, loyola heights, quezon city, ncr, 1108, Philippines",Loyola Heights,3,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,4:00PM,121.0723201,14.6392245,#N/A,#N/A,#N/A,#N/A,Administrative data
1438,Santol,"Brgy. Santol Brgy. Hall, Silencio cor. Baloy St.","Barangay Santol Barangay Hall, Silencio corner Baloy Street, Quezon City, Philippines",Santol,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0145453,14.612333,#N/A,#N/A,#N/A,#N/A,Administrative data
1439,SAPAMANAI,"2nd Floor SAPAMANAI Bldg., Molave St. cor Mahogany St. Brgy Fairview","2nd Floor SAPAMANAI Building, Molave Street corner Mahogany Street Barangay Fairview, Quezon City, Philippines",Fairview,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0691961,14.7105643,#N/A,#N/A,#N/A,#N/A,Administrative data
1440,Sapang Kangkong,"168 Kilusan St., Brgy. Matandang Balara","168 Kilusan Street, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0743781,14.6717796,#N/A,#N/A,#N/A,#N/A,Administrative data
1465,shining stars child development tutorial center,"2f - 1c  1d,  pearl drive commercial center , commonwealth ave corner pearl street, fairview, quezon city, ncr, 1118","2f - 1c 1d, pearl drive commercial center , commonwealth ave corner pearl street, fairview, quezon city, ncr, 1118, Philippines",Commonwealth,2,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1466,Silangan,"193 Ermin Garcia St., Cubao, Brgy. Silangan","193 Ermin Garcia Street, Cubao, Barangay Silangan, Quezon City, Philippines",Silangan,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0561355,14.6289309,#N/A,#N/A,#N/A,#N/A,Administrative data
1478,Sitio 6,"Lot 18 Blk 52, Abad Santos St, Sitio 6, Brgy. Sta Lucia","Lot 18 Blk 52, Abad Santos St, Sitio 6, Barangay Sta Lucia, Quezon City, Philippines",Sta. Lucia,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0517908,14.708652,#N/A,#N/A,#N/A,#N/A,Administrative data
1479,Sitio Cabuyao I,"Area 5a, Sauyo Road","Area 5a, Sauyo Road, Quezon City, Philippines",Sauyo,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0322259,14.6888669,#N/A,#N/A,#N/A,#N/A,Administrative data
1480,Sitio Cabuyao II,"Area 6, Sauyo Road","Area 6, Sauyo Road, Quezon City, Philippines",Sauyo,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1481,Sitio Kislap,"Sitio Kislap Pearl St, Brgy. Fairview","Sitio Kislap Pearl St, Barangay Fairview, Quezon City, Philippines",Fairview,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0729959,14.7075388,#N/A,#N/A,#N/A,#N/A,Administrative data
1482,Sitio Lambak,Flores St. Brgy. Krus Na Ligas,"Flores Street Barangay Krus Na Ligas, Quezon City, Philippines",Krus na Ligas,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0630151,14.6407989,#N/A,#N/A,#N/A,#N/A,Administrative data
1483,Sitio Maligaya I,14 Bayanihan Drive,"14 Bayanihan Drive, Quezon City, Philippines",Bahay Toro,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0239018,14.6682388,#N/A,#N/A,#N/A,#N/A,Administrative data
1484,Sitio Maligaya II,14 Bayanihan Drive,"14 Bayanihan Drive, Quezon City, Philippines",Bahay Toro,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1485,Sitio Pajo,GK Sitio Pajo,"GK Sitio Pajo, Quezon City, Philippines",Baesa,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0145391,14.6626972,#N/A,#N/A,#N/A,#N/A,Administrative data
1486,Sitio RABOSNA,"14 Ruby St Sitio Rabosna, Brgy. Fairview","14 Ruby St Sitio Rabosna, Barangay Fairview, Quezon City, Philippines",Fairview,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0674574,14.7098201,#N/A,#N/A,#N/A,#N/A,Administrative data
1487,Sitio Ruby,"Sitio Ruby St. SERNAI East Fairview, Brgy. Fairview","Sitio Ruby Street SERNAI East Fairview, Barangay Fairview, Quezon City, Philippines",Fairview,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0726771,14.7100359,#N/A,#N/A,#N/A,#N/A,Administrative data
1488,Sitio San Roque,Sitio San Roque Compound,"Sitio San Roque Compound, Quezon City, Philippines",Sangandaan,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1489,Sitio Sto. Cristo,#25 Sitio Sto. Cristo,"25 Sitio Sto. Cristo, Quezon City, Philippines",#N/A,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0298333,14.6615457,#N/A,#N/A,#N/A,#N/A,Administrative data
1490,Sitio Urlina,Sitio Urlina Lilac St. Brgy. Fairview,"Sitio Urlina Lilac Street Barangay Fairview, Quezon City, Philippines",Fairview,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0625297,14.6941097,#N/A,#N/A,#N/A,#N/A,Administrative data
1491,Sitio Veterans I,"Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan","Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove Street, Area 1 Sitio Veterans, corner Don Vicente Street, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1051639,14.7070269,#N/A,#N/A,#N/A,#N/A,Administrative data
1492,Sitio Veterans II,"Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan","Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove Street, Area 1 Sitio Veterans, corner Don Vicente Street, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1051639,14.7070269,#N/A,#N/A,#N/A,#N/A,Administrative data
1503,smartyville learning center,"unit 14  2nd floor , gtr bldg , no. 2 katipunan ave  corner king ferdinand st, kings point subdivision , bagbag, quezon city, ncr, 1116","unit 14 2nd floor , gtr bldg , 2 katipunan ave corner king ferdinand st, kings point subdivision , bagbag, quezon city, ncr, 1116, Philippines",Katipunan,1,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1504,Socorro,"#1 15th ave. cor. Boni Serrano Rd., Brgy. Socorro","1 15th Avenue corner Boni Serrano Road, Barangay Socorro, Quezon City, Philippines",Socorro,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0624669,14.6130574,#N/A,#N/A,#N/A,#N/A,Administrative data
1506,Soliven,"Commonwealth Heights, Soliven St. corner President Quezon St., Brgy. Commonwealth","Commonwealth Heights, Soliven Street corner President Quezon Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1513,South Triangle,Brgy. South Triangle Barangay Hall Sct. Bayoran St.,"Barangay South Triangle Barangay Hall Sct. Bayoran Street, Quezon City, Philippines",South Triangle,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0374221,14.6377557,#N/A,#N/A,#N/A,#N/A,Administrative data
1517,Springfield,"Springfield St., Brgy. Payatas","Springfield Street, Barangay Payatas, Quezon City, Philippines",Payatas,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1527,St. Andrew,"Sampaguita St., Dantes Subd., Damong Maliit, Brgy. Nagkaisang Nayon","Sampaguita Street, Dantes Subdivision, Damong Maliit, Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0326538,14.7241438,#N/A,#N/A,#N/A,#N/A,Administrative data
1563,St. Catherine,"St. Catherine St., Brgy. Holy Spirit","Street Catherine Street, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1568,St. Francis,"Barangay Hall Compd., Patnubay Street, St. Francis Village","Barangay Hall Compd., Patnubay Street, Street Francis Village, Quezon City, Philippines",San Agustin,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0384666,14.7292606,#N/A,#N/A,#N/A,#N/A,Administrative data
1620,st. mark integrated school inc.,"#3, gloria ii subd., tandang sora, quezon city, ncr, 1116","3, gloria ii Subdivision, tandang sora, quezon city, ncr, 1116, Philippines",Tandang Sora,6,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.0422266,14.6765618,#N/A,#N/A,#N/A,#N/A,Administrative data
1673,Sta. Cruz,"2nd Flr. Multi-purpose Hall
23D Gen. Lim St.","2nd Floor Multi-purpose Hall
23D Gen. Lim Street, Quezon City, Philippines",Sta. Cruz,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0169696,14.6330369,#N/A,#N/A,#N/A,#N/A,Administrative data
1676,Sta. Monica,"Barangay Hall Compd., Moises St., Jordan Plains Subd., Brgy. Sta Monica","Barangay Hall Compd., Moises Street, Jordan Plains Subdivision, Barangay Sta Monica, Quezon City, Philippines",Sta. Monica,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0451835,14.7247805,#N/A,#N/A,#N/A,#N/A,Administrative data
1677,Sta. Teresita,Mayon cor. Dapitan St. Barangay Hall Compd.,"Mayon corner Dapitan Street Barangay Hall Compd., Quezon City, Philippines",Sta. Teresita,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1685,"ste. anne de beaupre school, inc.","faith st., 7 teresa village, bahay toro, quezon city, ncr, 1106","faith Street, 7 teresa village, bahay toro, quezon city, ncr, 1106, Philippines",Bahay Toro,1,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1698,Sto. Cristo,5 Romblon St.,"5 Romblon Street, Quezon City, Philippines",Sto. Cristo,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0292552,14.6627338,#N/A,#N/A,#N/A,#N/A,Administrative data
1700,Sto. Domingo,14 Maria Clara St.,"14 Maria Clara Street, Quezon City, Philippines",Sto. Domingo (Matalahib),1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0095362,14.6299906,#N/A,#N/A,#N/A,#N/A,Administrative data
1701,Sto. Domingo,"Republic Chapel (inside the gate), Brgy. Holy Spirit","Republic Chapel (inside the gate), Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0849339,14.6898365,#N/A,#N/A,#N/A,#N/A,Administrative data
1702,Sto. Niño,Inocando St. Corner Santol St. Brgy. Sto. Niño,"Inocando Street Corner Santol Street Barangay Sto. Niño, Quezon City, Philippines",Sto. Niño,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.01257,14.6129641,#N/A,#N/A,#N/A,#N/A,Administrative data
1703,Sto. Niño,"Side of Sto. Niño Covered Court, Brgy. Holy Spirit","Side of Sto. Niño Covered Court, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0797926,14.6915933,#N/A,#N/A,#N/A,#N/A,Administrative data
1710,Sto. Niño De Payatas I,"Ground floor, SÑDP CDC, Sto. Niño De Payatas St., Brgy. Payatas","Ground floor, SÑDP CDC, Sto. Niño De Payatas Street, Barangay Payatas, Quezon City, Philippines",Payatas,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0999563,14.7019144,#N/A,#N/A,#N/A,#N/A,Administrative data
1711,Sto. Niño De Payatas II,"Second floor, SÑDP CDC, Sto. Niño De Payatas St., Brgy. Payatas","Second floor, SÑDP CDC, Sto. Niño De Payatas Street, Barangay Payatas, Quezon City, Philippines",Payatas,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0999563,14.7019144,#N/A,#N/A,#N/A,#N/A,Administrative data
1721,T.S. Cruz,"T.S. Cruz Day Care and Livelihood Center, Fidel St., T.S. Cruz Subdivision, Brgy. San Agustin","T.S. Cruz Day Care and Livelihood Center, Fidel Street, T.S. Cruz Subdivision, Barangay San Agustin, Quezon City, Philippines",San Agustin,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0345719,14.7248057,#N/A,#N/A,#N/A,#N/A,Administrative data
1722,Tagumpay,"2B P. Tuazon Blvd., Brgy. Tagumpay","2B P. Tuazon Boulevard, Barangay Tagumpay, Quezon City, Philippines",Tagumpay,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1723,Talanay,"31 Alton St., Sitio Talanay, Brgy. Batasan Hills","31 Alton Street, Sitio Talanay, Barangay Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0997767,14.6856039,#N/A,#N/A,#N/A,#N/A,Administrative data
1724,Talayan Calamba,199 Calamba ext. Talayan Village,"199 Calamba Extension Talayan Village, Quezon City, Philippines",Talayan,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0134233,14.6348804,#N/A,#N/A,#N/A,#N/A,Administrative data
1725,Talipapa,Siklot St. Pleasantville Subd.,"Siklot Street Pleasantville Subdivision, Quezon City, Philippines",Talipapa,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.026903,14.6868201,#N/A,#N/A,#N/A,#N/A,Administrative data
