Name of Facility,Address,District,Category,Has Pharmacy,latitude,longitude
Old Balara (Annex),"99A Tandang Sora Ave, Brgy. Matandang Balara",District 3,HEALTH CENTER,FALSE,14.663050661484300,121.07473983168500
Pansol,"Plaza St., Brgy. Pansol",District 3,HEALTH CENTER,TRUE,14.651201493272400,121.0772118643420
Project 4,"Kalantiaw st. cor. P. Tuazon, Brgy. Bagumbuhay",District 3,HEALTH CENTER,FALSE,14.622371480787600,121.06544204119700
Socorro,"139 15th Avenue, Brgy. Socorro",District 3,HEALTH CENTER,FALSE,14.630870488881400,121.07905176131600
District IV – Health Office,"Tatalon Health Center, #33 Victory Ave., Brgy. Tatalon",District 4,HEALTH CENTER,FALSE,14.621587052907600,121.01347256244000
Bernardo,"95 Ermin Garcia St., Brgy. Pinagkaisahan",District 4,HEALTH CENTER,FALSE,14.62822261347750,121.04657838751500
Cubao,"22 Mayor Ignacio Diaz St., Brgy. Kaunlaran",District 4,HEALTH CENTER,FALSE,14.616661143554100,121.04705230632200
Galas,"46 Bayani St. Brgy. San Isidro, Galas",District 4,HEALTH CENTER,FALSE,14.612987187001200,121.0108552381140
Gen. Roxas,"Jasmin St. cor. Madre Silva St., Roxas District",District 4,HEALTH CENTER,TRUE,14.628238403628700,121.02277060982700
Kalayaan,"91 Guirayan St., Brgy. Doña Imelda",District 4,HEALTH CENTER,FALSE,14.615721909859200,121.01815271518500
Krus na Ligas,"89 Lt. J. Francisco, Brgy. Krus na Ligas",District 4,HEALTH CENTER,TRUE,14.644508550409900,121.0646984178350
Pinyahan,"37 Malakas St., Brgy. Pinyahan",District 4,HEALTH CENTER,FALSE,14.635258958131600,121.04780617329700
San Vicente,"#14 Maayusin Ext., Brgy. San Vicente",District 4,HEALTH CENTER,TRUE,14.652967703352200,121.05657080087000
Tatalon,"33 Victory Ave., Brgy. Tatalon",District 4,HEALTH CENTER,FALSE,14.621504066593200,121.01407337801900
District V – Health Office,Arsenia J. Maximo (Novaliches) Super HC,District 5,HEALTH CENTER,FALSE,14.725051534462300,121.04385772381300
Bagbag,"18 Parokya ng Pagkabuhay Road, Brgy. Bagbag",District 5,HEALTH CENTER,FALSE,14.696613235472300,121.03204030472100
Capri,"Narra St. Area 5, Brgy. Capri, Novaliches",District 5,HEALTH CENTER,FALSE,14.717230604593600,121.02915568482500
Fairview,"Dahlia Avenue, Brgy. Fairview",District 5,HEALTH CENTER,FALSE,14.702237438317900,121.06441159509300
Greater Lagro,"Blk, 47, Lot 1, Ascension Avenue, Brgy. Greater Lagro",District 5,HEALTH CENTER,TRUE,14.726065092785000,121.06638863517200
Gulod,"#47 Villaflor Village, Brgy. Gulod",District 5,HEALTH CENTER,FALSE,14.712704109491700,121.0391692032190
Kaligayahan,"58 Kingfisher St., Zabarte Subd.,, Brgy. Kaligayahan",District 5,HEALTH CENTER,FALSE,14.736110668590300,121.05421391060800
Maligaya,"Pechayan St., Maligaya Park Subd., Brgy. Pasong Putik",District 5,HEALTH CENTER,TRUE,14.740869687736200,121.06570023338100
Nagkaisang Nayon,"Terio St., FB de Jesus,Sitio Damong Maliit Bgy. Nagkaisang Nayon",District 5,HEALTH CENTER,TRUE,14.725775377701100,121.02846650322300
