barangay,district,Indicator,Total,In Flood Zone,% under flood risk
Duyan-duyan,DISTRICT 3,Male Children (0-4),133,12,9.02
E. Rodriguez,DISTRICT 3,Male Children (0-4),688,149,21.66
East Kamias,DISTRICT 3,Male Children (0-4),254,113,44.49
Escopa 1,DISTRICT 3,Male Children (0-4),84,0,0.0
Escopa 2,DISTRICT 3,Male Children (0-4),63,0,0.0
Escopa 3,DISTRICT 3,Male Children (0-4),301,0,0.0
Escopa 4,DISTRICT 3,Male Children (0-4),69,0,0.0
Fairview,DISTRICT 5,Male Children (0-4),2446,333,13.61
Greater Lagro,DISTRICT 5,Male Children (0-4),932,71,7.62
Gulod,DISTRICT 5,Male Children (0-4),2484,940,37.84
Holy Spirit,DISTRICT 2,Male Children (0-4),4442,419,9.43
Horseshoe,DISTRICT 4,Male Children (0-4),113,25,22.12
Immaculate Concepcion,DISTRICT 4,Male Children (0-4),318,63,19.81
Kaligayahan,DISTRICT 5,Male Children (0-4),2403,157,6.53
Kalusugan,DISTRICT 4,Male Children (0-4),189,94,49.74
Kamuning,DISTRICT 4,Male Children (0-4),481,165,34.3
Katipunan,DISTRICT 1,Male Children (0-4),422,415,98.34
Kaunlaran,DISTRICT 4,Male Children (0-4),482,20,4.15
Kristong Hari,DISTRICT 4,Male Children (0-4),238,102,42.86
Krus na Ligas,DISTRICT 4,Male Children (0-4),838,0,0.0
Laging Handa,DISTRICT 4,Male Children (0-4),192,8,4.17
Libis,DISTRICT 3,Male Children (0-4),166,57,34.34
Lourdes,DISTRICT 1,Male Children (0-4),176,13,7.39
Loyola Heights,DISTRICT 3,Male Children (0-4),832,227,27.28
Maharlika,DISTRICT 1,Male Children (0-4),172,108,62.79
Malaya,DISTRICT 4,Male Children (0-4),103,0,0.0
Mangga,DISTRICT 3,Male Children (0-4),37,29,78.38
Manresa,DISTRICT 1,Male Children (0-4),685,177,25.84
Mariana,DISTRICT 4,Male Children (0-4),455,37,8.13
Mariblo,DISTRICT 1,Male Children (0-4),136,90,66.18
Marilag,DISTRICT 3,Male Children (0-4),498,30,6.02
Masagana,DISTRICT 3,Male Children (0-4),165,67,40.61
Masambong,DISTRICT 1,Male Children (0-4),347,299,86.17
Matandang Balara,DISTRICT 3,Male Children (0-4),2759,268,9.71
Milagrosa,DISTRICT 3,Male Children (0-4),269,40,14.87
N. S. Amoranto (Gintong Silahis),DISTRICT 1,Male Children (0-4),233,59,25.32
Nagkaisang Nayon,DISTRICT 5,Male Children (0-4),2138,464,21.7
Nayong Kanluran,DISTRICT 1,Male Children (0-4),98,17,17.35
New Era,DISTRICT 6,Male Children (0-4),524,59,11.26
North Fairview,DISTRICT 5,Male Children (0-4),1762,288,16.35
Novaliches Proper,DISTRICT 5,Male Children (0-4),614,245,39.9
Obrero,DISTRICT 4,Male Children (0-4),377,72,19.1
Old Capitol Site,DISTRICT 4,Male Children (0-4),53,31,58.49
Paang Bundok,DISTRICT 1,Male Children (0-4),191,8,4.19
Pag-ibig sa Nayon,DISTRICT 1,Male Children (0-4),235,0,0.0
Paligsahan,DISTRICT 4,Male Children (0-4),140,13,9.29
Paltok,DISTRICT 1,Male Children (0-4),721,271,37.59
Pansol,DISTRICT 3,Male Children (0-4),1399,76,5.43
Paraiso,DISTRICT 1,Male Children (0-4),140,37,26.43
Pasong Putik Proper,DISTRICT 5,Male Children (0-4),1583,187,11.81
Pasong Tamo,DISTRICT 6,Male Children (0-4),4394,859,19.55
Payatas,DISTRICT 2,Male Children (0-4),5549,493,8.88
Phil-Am,DISTRICT 1,Male Children (0-4),100,8,8.0
Pinagkaisahan,DISTRICT 4,Male Children (0-4),173,25,14.45
Pinyahan,DISTRICT 4,Male Children (0-4),865,57,6.59
Project 6,DISTRICT 1,Male Children (0-4),470,93,19.79
Quirino 2-A,DISTRICT 3,Male Children (0-4),183,74,40.44
Quirino 2-B,DISTRICT 3,Male Children (0-4),155,56,36.13
Quirino 2-C,DISTRICT 3,Male Children (0-4),126,68,53.97
Quirino 3-A,DISTRICT 3,Male Children (0-4),42,9,21.43
Ramon Magsaysay,DISTRICT 1,Male Children (0-4),571,72,12.61
Reservoir,,Male Children (0-4),265,31,11.7
Roxas,DISTRICT 4,Male Children (0-4),422,112,26.54
Sacred Heart,DISTRICT 4,Male Children (0-4),243,5,2.06
Salvacion,DISTRICT 1,Male Children (0-4),265,26,9.81
