barangay,district,Indicator,Total,In Flood Zone,% under flood risk
Alicia,DISTRICT 1,Female Elderly (60+),328,93,28.35
Amihan,DISTRICT 3,Female Elderly (60+),188,59,31.38
Apolonio Samson,DISTRICT 6,Female Elderly (60+),1806,787,43.58
Baesa,DISTRICT 6,Female Elderly (60+),2978,959,32.2
Bagbag,DISTRICT 5,Female Elderly (60+),3447,639,18.54
Bagong Lipunan ng Crame,DISTRICT 4,Female Elderly (60+),980,149,15.2
Bagong Pag-asa,DISTRICT 1,Female Elderly (60+),1570,388,24.71
Bagong Silangan,DISTRICT 2,Female Elderly (60+),5730,1103,19.25
Bagumbayan,DISTRICT 3,Female Elderly (60+),1191,674,56.59
Bagumbuhay,DISTRICT 3,Female Elderly (60+),340,90,26.47
Bahay Toro,DISTRICT 1,Female Elderly (60+),3201,1109,34.65
Balingasa,DISTRICT 1,Female Elderly (60+),1031,261,25.32
Balong-bato,DISTRICT 6,Female Elderly (60+),376,48,12.77
Batasan Hills,DISTRICT 2,Female Elderly (60+),8946,1573,17.58
Bayanihan,DISTRICT 3,Female Elderly (60+),33,0,0.0
Blue Ridge A,DISTRICT 3,Female Elderly (60+),84,5,5.95
Blue Ridge B,DISTRICT 3,Female Elderly (60+),57,9,15.79
Botocan,DISTRICT 4,Female Elderly (60+),355,127,35.77
Bungad,DISTRICT 1,Female Elderly (60+),378,73,19.31
Camp Aguinaldo,DISTRICT 3,Female Elderly (60+),176,12,6.82
Capri,DISTRICT 5,Female Elderly (60+),689,584,84.76
Central,DISTRICT 4,Female Elderly (60+),1044,229,21.93
Claro (Quirino 3-B),DISTRICT 3,Female Elderly (60+),208,125,60.1
Commonwealth,DISTRICT 2,Female Elderly (60+),11448,959,8.38
Culiat,DISTRICT 6,Female Elderly (60+),3636,1190,32.73
Damar,DISTRICT 1,Female Elderly (60+),51,12,23.53
Damayan,DISTRICT 1,Female Elderly (60+),321,107,33.33
Damayang Lagi,DISTRICT 4,Female Elderly (60+),1037,538,51.88
Del Monte,DISTRICT 1,Female Elderly (60+),549,207,37.7
Dioquino Zobel,DISTRICT 3,Female Elderly (60+),97,0,0.0
Don Manuel,DISTRICT 4,Female Elderly (60+),93,26,27.96
Doña Aurora,DISTRICT 4,Female Elderly (60+),228,0,0.0
Doña Imelda,DISTRICT 4,Female Elderly (60+),628,555,88.38
Doña Josefa,DISTRICT 4,Female Elderly (60+),100,6,6.0
Duyan-duyan,DISTRICT 3,Female Elderly (60+),180,16,8.89
E. Rodriguez,DISTRICT 3,Female Elderly (60+),930,202,21.72
East Kamias,DISTRICT 3,Female Elderly (60+),343,153,44.61
Escopa 1,DISTRICT 3,Female Elderly (60+),113,0,0.0
Escopa 2,DISTRICT 3,Female Elderly (60+),105,0,0.0
Escopa 3,DISTRICT 3,Female Elderly (60+),498,0,0.0
Escopa 4,DISTRICT 3,Female Elderly (60+),114,0,0.0
Fairview,DISTRICT 5,Female Elderly (60+),3308,450,13.6
Greater Lagro,DISTRICT 5,Female Elderly (60+),1260,96,7.62
Gulod,DISTRICT 5,Female Elderly (60+),3358,1271,37.85
Holy Spirit,DISTRICT 2,Female Elderly (60+),6006,566,9.42
Horseshoe,DISTRICT 4,Female Elderly (60+),153,34,22.22
Immaculate Concepcion,DISTRICT 4,Female Elderly (60+),430,85,19.77
Kaligayahan,DISTRICT 5,Female Elderly (60+),3237,212,6.55
Kalusugan,DISTRICT 4,Female Elderly (60+),256,127,49.61
Kamuning,DISTRICT 4,Female Elderly (60+),651,223,34.25
Katipunan,DISTRICT 1,Female Elderly (60+),570,561,98.42
Kaunlaran,DISTRICT 4,Female Elderly (60+),652,28,4.29
Kristong Hari,DISTRICT 4,Female Elderly (60+),321,138,42.99
Krus na Ligas,DISTRICT 4,Female Elderly (60+),1133,0,0.0
Laging Handa,DISTRICT 4,Female Elderly (60+),259,11,4.25
Libis,DISTRICT 3,Female Elderly (60+),225,77,34.22
Lourdes,DISTRICT 1,Female Elderly (60+),238,17,7.14
Loyola Heights,DISTRICT 3,Female Elderly (60+),1126,306,27.18
Maharlika,DISTRICT 1,Female Elderly (60+),233,146,62.66
Malaya,DISTRICT 4,Female Elderly (60+),139,0,0.0
Mangga,DISTRICT 3,Female Elderly (60+),50,39,78.0
Manresa,DISTRICT 1,Female Elderly (60+),926,239,25.81
Mariana,DISTRICT 4,Female Elderly (60+),616,49,7.95
Mariblo,DISTRICT 1,Female Elderly (60+),183,122,66.67
Marilag,DISTRICT 3,Female Elderly (60+),677,40,5.91
Masagana,DISTRICT 3,Female Elderly (60+),223,91,40.81
Masambong,DISTRICT 1,Female Elderly (60+),469,404,86.14
Matandang Balara,DISTRICT 3,Female Elderly (60+),3730,362,9.71
Milagrosa,DISTRICT 3,Female Elderly (60+),364,54,14.84
N. S. Amoranto (Gintong Silahis),DISTRICT 1,Female Elderly (60+),315,79,25.08
Nagkaisang Nayon,DISTRICT 5,Female Elderly (60+),2875,623,21.67
Nayong Kanluran,DISTRICT 1,Female Elderly (60+),132,23,17.42
New Era,DISTRICT 6,Female Elderly (60+),709,80,11.28
North Fairview,DISTRICT 5,Female Elderly (60+),2383,389,16.32
Novaliches Proper,DISTRICT 5,Female Elderly (60+),830,331,39.88
Obrero,DISTRICT 4,Female Elderly (60+),510,97,19.02
Old Capitol Site,DISTRICT 4,Female Elderly (60+),71,42,59.15
Paang Bundok,DISTRICT 1,Female Elderly (60+),258,10,3.88
Pag-ibig sa Nayon,DISTRICT 1,Female Elderly (60+),318,0,0.0
Paligsahan,DISTRICT 4,Female Elderly (60+),189,17,8.99
Paltok,DISTRICT 1,Female Elderly (60+),975,367,37.64
Pansol,DISTRICT 3,Female Elderly (60+),1916,103,5.38
Paraiso,DISTRICT 1,Female Elderly (60+),189,49,25.93
Pasong Putik Proper,DISTRICT 5,Female Elderly (60+),2122,252,11.88
Pasong Tamo,DISTRICT 6,Female Elderly (60+),5941,1161,19.54
Payatas,DISTRICT 2,Female Elderly (60+),7503,667,8.89
Phil-Am,DISTRICT 1,Female Elderly (60+),135,11,8.15
Pinagkaisahan,DISTRICT 4,Female Elderly (60+),234,33,14.1
Pinyahan,DISTRICT 4,Female Elderly (60+),1169,78,6.67
Project 6,DISTRICT 1,Female Elderly (60+),635,126,19.84
Quirino 2-A,DISTRICT 3,Female Elderly (60+),247,100,40.49
Quirino 2-B,DISTRICT 3,Female Elderly (60+),210,76,36.19
Quirino 2-C,DISTRICT 3,Female Elderly (60+),170,91,53.53
Quirino 3-A,DISTRICT 3,Female Elderly (60+),57,12,21.05
Ramon Magsaysay,DISTRICT 1,Female Elderly (60+),772,97,12.56
Reservoir,,Female Elderly (60+),354,42,11.86
Roxas,DISTRICT 4,Female Elderly (60+),570,152,26.67
Sacred Heart,DISTRICT 4,Female Elderly (60+),328,6,1.83
Salvacion,DISTRICT 1,Female Elderly (60+),359,35,9.75
San Agustin,DISTRICT 5,Female Elderly (60+),1363,129,9.46
San Antonio,DISTRICT 1,Female Elderly (60+),1195,500,41.84
San Bartolome,DISTRICT 5,Female Elderly (60+),2744,589,21.47
San Isidro,DISTRICT 4,Female Elderly (60+),356,28,7.87
San Isidro Labrador,DISTRICT 1,Female Elderly (60+),336,38,11.31
San Jose,DISTRICT 1,Female Elderly (60+),314,14,4.46
San Martin de Porres,DISTRICT 4,Female Elderly (60+),628,51,8.12
San Roque,DISTRICT 3,Female Elderly (60+),1023,80,7.82
San Vicente,DISTRICT 4,Female Elderly (60+),382,224,58.64
Sangandaan,DISTRICT 6,Female Elderly (60+),1127,288,25.55
Santol,DISTRICT 4,Female Elderly (60+),345,118,34.2
Sauyo,DISTRICT 6,Female Elderly (60+),4097,555,13.55
Sienna,DISTRICT 1,Female Elderly (60+),108,61,56.48
Sikatuna Village,DISTRICT 4,Female Elderly (60+),326,18,5.52
Silangan,DISTRICT 3,Female Elderly (60+),258,92,35.66
Socorro,DISTRICT 3,Female Elderly (60+),1194,36,3.02
South Triangle,DISTRICT 4,Female Elderly (60+),778,133,17.1
St. Ignatius,DISTRICT 3,Female Elderly (60+),110,0,0.0
St. Peter,DISTRICT 1,Female Elderly (60+),218,135,61.93
Sta. Cruz,DISTRICT 1,Female Elderly (60+),212,83,39.15
Sta. Lucia,DISTRICT 5,Female Elderly (60+),1517,534,35.2
Sta. Monica,DISTRICT 5,Female Elderly (60+),2782,993,35.69
Sta. Teresita,DISTRICT 1,Female Elderly (60+),632,76,12.03
Sto. Cristo,DISTRICT 1,Female Elderly (60+),1384,307,22.18
Sto. Domingo (Matalahib),DISTRICT 1,Female Elderly (60+),611,488,79.87
Sto. Niño,DISTRICT 4,Female Elderly (60+),384,0,0.0
Tagumpay,DISTRICT 3,Female Elderly (60+),122,61,50.0
Talayan,DISTRICT 1,Female Elderly (60+),236,212,89.83
Talipapa,DISTRICT 6,Female Elderly (60+),2072,370,17.86
Tandang Sora,DISTRICT 6,Female Elderly (60+),4465,667,14.94
Tatalon,DISTRICT 4,Female Elderly (60+),2967,2335,78.7
Teachers Village East,DISTRICT 4,Female Elderly (60+),128,5,3.91
Teachers Village West,DISTRICT 4,Female Elderly (60+),160,10,6.25
U. P. Campus,DISTRICT 4,Female Elderly (60+),2541,309,12.16
U. P. Village,DISTRICT 4,Female Elderly (60+),169,4,2.37
Ugong Norte,DISTRICT 3,Female Elderly (60+),338,50,14.79
Unang Sigaw,DISTRICT 6,Female Elderly (60+),352,100,28.41
Valencia,DISTRICT 4,Female Elderly (60+),583,190,32.59
Vasra,DISTRICT 1,Female Elderly (60+),395,179,45.32
Veterans Village,DISTRICT 1,Female Elderly (60+),681,95,13.95
Villa Maria Clara,DISTRICT 3,Female Elderly (60+),129,54,41.86
West Kamias,DISTRICT 3,Female Elderly (60+),217,135,62.21
West Triangle,DISTRICT 1,Female Elderly (60+),130,24,18.46
White Plains,DISTRICT 3,Female Elderly (60+),191,30,15.71
Alicia,DISTRICT 1,Male Elderly (60+),230,65,28.26
Amihan,DISTRICT 3,Male Elderly (60+),132,41,31.06
Apolonio Samson,DISTRICT 6,Male Elderly (60+),1264,551,43.59
Baesa,DISTRICT 6,Male Elderly (60+),2084,671,32.2
Bagbag,DISTRICT 5,Male Elderly (60+),2418,451,18.65
Bagong Lipunan ng Crame,DISTRICT 4,Male Elderly (60+),624,95,15.22
Bagong Pag-asa,DISTRICT 1,Male Elderly (60+),1099,271,24.66
Bagong Silangan,DISTRICT 2,Male Elderly (60+),4010,772,19.25
Bagumbayan,DISTRICT 3,Male Elderly (60+),833,472,56.66
Bagumbuhay,DISTRICT 3,Male Elderly (60+),238,63,26.47
Bahay Toro,DISTRICT 1,Male Elderly (60+),2240,776,34.64
Balingasa,DISTRICT 1,Male Elderly (60+),722,183,25.35
Balong-bato,DISTRICT 6,Male Elderly (60+),263,34,12.93
Batasan Hills,DISTRICT 2,Male Elderly (60+),6260,1101,17.59
Bayanihan,DISTRICT 3,Male Elderly (60+),23,0,0.0
Blue Ridge A,DISTRICT 3,Male Elderly (60+),59,4,6.78
Blue Ridge B,DISTRICT 3,Male Elderly (60+),40,6,15.0
Botocan,DISTRICT 4,Male Elderly (60+),248,89,35.89
Bungad,DISTRICT 1,Male Elderly (60+),264,51,19.32
Camp Aguinaldo,DISTRICT 3,Male Elderly (60+),123,8,6.5
Capri,DISTRICT 5,Male Elderly (60+),482,408,84.65
Central,DISTRICT 4,Male Elderly (60+),730,160,21.92
Claro (Quirino 3-B),DISTRICT 3,Male Elderly (60+),145,87,60.0
Commonwealth,DISTRICT 2,Male Elderly (60+),8011,671,8.38
Culiat,DISTRICT 6,Male Elderly (60+),2544,833,32.74
Damar,DISTRICT 1,Male Elderly (60+),36,8,22.22
Damayan,DISTRICT 1,Male Elderly (60+),225,75,33.33
Damayang Lagi,DISTRICT 4,Male Elderly (60+),726,377,51.93
Del Monte,DISTRICT 1,Male Elderly (60+),384,145,37.76
Dioquino Zobel,DISTRICT 3,Male Elderly (60+),68,0,0.0
Don Manuel,DISTRICT 4,Male Elderly (60+),65,18,27.69
Doña Aurora,DISTRICT 4,Male Elderly (60+),160,0,0.0
Doña Imelda,DISTRICT 4,Male Elderly (60+),439,388,88.38
Doña Josefa,DISTRICT 4,Male Elderly (60+),70,4,5.71
Duyan-duyan,DISTRICT 3,Male Elderly (60+),126,11,8.73
E. Rodriguez,DISTRICT 3,Male Elderly (60+),651,141,21.66
East Kamias,DISTRICT 3,Male Elderly (60+),240,107,44.58
Escopa 1,DISTRICT 3,Male Elderly (60+),79,0,0.0
Escopa 2,DISTRICT 3,Male Elderly (60+),73,0,0.0
Escopa 3,DISTRICT 3,Male Elderly (60+),349,0,0.0
Escopa 4,DISTRICT 3,Male Elderly (60+),80,0,0.0
Fairview,DISTRICT 5,Male Elderly (60+),2315,315,13.61
Greater Lagro,DISTRICT 5,Male Elderly (60+),882,67,7.6
Gulod,DISTRICT 5,Male Elderly (60+),2350,889,37.83
Holy Spirit,DISTRICT 2,Male Elderly (60+),4203,396,9.42
Horseshoe,DISTRICT 4,Male Elderly (60+),107,24,22.43
Immaculate Concepcion,DISTRICT 4,Male Elderly (60+),301,59,19.6
Kaligayahan,DISTRICT 5,Male Elderly (60+),2268,148,6.53
Kalusugan,DISTRICT 4,Male Elderly (60+),179,89,49.72
Kamuning,DISTRICT 4,Male Elderly (60+),455,156,34.29
Katipunan,DISTRICT 1,Male Elderly (60+),399,392,98.25
Kaunlaran,DISTRICT 4,Male Elderly (60+),456,19,4.17
Kristong Hari,DISTRICT 4,Male Elderly (60+),225,96,42.67
Krus na Ligas,DISTRICT 4,Male Elderly (60+),793,0,0.0
Laging Handa,DISTRICT 4,Male Elderly (60+),181,8,4.42
Libis,DISTRICT 3,Male Elderly (60+),157,54,34.39
Lourdes,DISTRICT 1,Male Elderly (60+),166,12,7.23
Loyola Heights,DISTRICT 3,Male Elderly (60+),788,214,27.16
Maharlika,DISTRICT 1,Male Elderly (60+),163,102,62.58
Malaya,DISTRICT 4,Male Elderly (60+),97,0,0.0
Mangga,DISTRICT 3,Male Elderly (60+),35,28,80.0
Manresa,DISTRICT 1,Male Elderly (60+),648,167,25.77
Mariana,DISTRICT 4,Male Elderly (60+),431,35,8.12
Mariblo,DISTRICT 1,Male Elderly (60+),128,85,66.41
Marilag,DISTRICT 3,Male Elderly (60+),474,28,5.91
Masagana,DISTRICT 3,Male Elderly (60+),156,64,41.03
Masambong,DISTRICT 1,Male Elderly (60+),328,283,86.28
Matandang Balara,DISTRICT 3,Male Elderly (60+),2611,253,9.69
Milagrosa,DISTRICT 3,Male Elderly (60+),254,38,14.96
N. S. Amoranto (Gintong Silahis),DISTRICT 1,Male Elderly (60+),220,55,25.0
Nagkaisang Nayon,DISTRICT 5,Male Elderly (60+),2017,438,21.72
Nayong Kanluran,DISTRICT 1,Male Elderly (60+),93,16,17.2
New Era,DISTRICT 6,Male Elderly (60+),496,56,11.29
North Fairview,DISTRICT 5,Male Elderly (60+),1668,272,16.31
Novaliches Proper,DISTRICT 5,Male Elderly (60+),581,232,39.93
Obrero,DISTRICT 4,Male Elderly (60+),357,68,19.05
Old Capitol Site,DISTRICT 4,Male Elderly (60+),50,29,58.0
Paang Bundok,DISTRICT 1,Male Elderly (60+),181,7,3.87
Pag-ibig sa Nayon,DISTRICT 1,Male Elderly (60+),223,0,0.0
Paligsahan,DISTRICT 4,Male Elderly (60+),133,12,9.02
Paltok,DISTRICT 1,Male Elderly (60+),683,257,37.63
Pansol,DISTRICT 3,Male Elderly (60+),1341,72,5.37
Paraiso,DISTRICT 1,Male Elderly (60+),133,35,26.32
Pasong Putik Proper,DISTRICT 5,Male Elderly (60+),1489,176,11.82
Pasong Tamo,DISTRICT 6,Male Elderly (60+),4157,813,19.56
Payatas,DISTRICT 2,Male Elderly (60+),5250,467,8.9
Phil-Am,DISTRICT 1,Male Elderly (60+),94,8,8.51
Pinagkaisahan,DISTRICT 4,Male Elderly (60+),164,23,14.02
Pinyahan,DISTRICT 4,Male Elderly (60+),818,54,6.6
Project 6,DISTRICT 1,Male Elderly (60+),444,88,19.82
Quirino 2-A,DISTRICT 3,Male Elderly (60+),173,70,40.46
Quirino 2-B,DISTRICT 3,Male Elderly (60+),147,53,36.05
Quirino 2-C,DISTRICT 3,Male Elderly (60+),119,64,53.78
Quirino 3-A,DISTRICT 3,Male Elderly (60+),40,9,22.5
Ramon Magsaysay,DISTRICT 1,Male Elderly (60+),540,68,12.59
Reservoir,,Male Elderly (60+),248,30,12.1
Roxas,DISTRICT 4,Male Elderly (60+),399,106,26.57
Sacred Heart,DISTRICT 4,Male Elderly (60+),229,4,1.75
Salvacion,DISTRICT 1,Male Elderly (60+),251,24,9.56
San Agustin,DISTRICT 5,Male Elderly (60+),954,90,9.43
San Antonio,DISTRICT 1,Male Elderly (60+),836,350,41.87
San Bartolome,DISTRICT 5,Male Elderly (60+),1920,412,21.46
San Isidro,DISTRICT 4,Male Elderly (60+),249,20,8.03
San Isidro Labrador,DISTRICT 1,Male Elderly (60+),235,27,11.49
San Jose,DISTRICT 1,Male Elderly (60+),220,10,4.55
San Martin de Porres,DISTRICT 4,Male Elderly (60+),440,36,8.18
San Roque,DISTRICT 3,Male Elderly (60+),716,56,7.82
San Vicente,DISTRICT 4,Male Elderly (60+),268,157,58.58
Sangandaan,DISTRICT 6,Male Elderly (60+),789,201,25.48
Santol,DISTRICT 4,Male Elderly (60+),241,83,34.44
Sauyo,DISTRICT 6,Male Elderly (60+),2867,389,13.57
Sienna,DISTRICT 1,Male Elderly (60+),76,43,56.58
Sikatuna Village,DISTRICT 4,Male Elderly (60+),228,13,5.7
Silangan,DISTRICT 3,Male Elderly (60+),181,64,35.36
Socorro,DISTRICT 3,Male Elderly (60+),836,25,2.99
South Triangle,DISTRICT 4,Male Elderly (60+),544,93,17.1
St. Ignatius,DISTRICT 3,Male Elderly (60+),77,0,0.0
St. Peter,DISTRICT 1,Male Elderly (60+),152,95,62.5
Sta. Cruz,DISTRICT 1,Male Elderly (60+),148,58,39.19
Sta. Lucia,DISTRICT 5,Male Elderly (60+),1062,374,35.22
Sta. Monica,DISTRICT 5,Male Elderly (60+),1947,695,35.7
Sta. Teresita,DISTRICT 1,Male Elderly (60+),442,53,11.99
Sto. Cristo,DISTRICT 1,Male Elderly (60+),968,215,22.21
Sto. Domingo (Matalahib),DISTRICT 1,Male Elderly (60+),428,342,79.91
Sto. Niño,DISTRICT 4,Male Elderly (60+),269,0,0.0
Tagumpay,DISTRICT 3,Male Elderly (60+),85,43,50.59
Talayan,DISTRICT 1,Male Elderly (60+),165,149,90.3
Talipapa,DISTRICT 6,Male Elderly (60+),1455,260,17.87
Tandang Sora,DISTRICT 6,Male Elderly (60+),3125,466,14.91
Tatalon,DISTRICT 4,Male Elderly (60+),2076,1634,78.71
Teachers Village East,DISTRICT 4,Male Elderly (60+),90,4,4.44
Teachers Village West,DISTRICT 4,Male Elderly (60+),112,7,6.25
U. P. Campus,DISTRICT 4,Male Elderly (60+),1778,216,12.15
U. P. Village,DISTRICT 4,Male Elderly (60+),118,3,2.54
Ugong Norte,DISTRICT 3,Male Elderly (60+),236,35,14.83
Unang Sigaw,DISTRICT 6,Male Elderly (60+),246,70,28.46
Valencia,DISTRICT 4,Male Elderly (60+),408,133,32.6
Vasra,DISTRICT 1,Male Elderly (60+),277,125,45.13
Veterans Village,DISTRICT 1,Male Elderly (60+),477,66,13.84
Villa Maria Clara,DISTRICT 3,Male Elderly (60+),90,38,42.22
West Kamias,DISTRICT 3,Male Elderly (60+),152,95,62.5
West Triangle,DISTRICT 1,Male Elderly (60+),91,17,18.68
White Plains,DISTRICT 3,Male Elderly (60+),134,21,15.67
Alicia,DISTRICT 1,Childcare Facilities,0,0,
Amihan,DISTRICT 3,Childcare Facilities,0,0,
Apolonio Samson,DISTRICT 6,Childcare Facilities,5,1,20.0
Baesa,DISTRICT 6,Childcare Facilities,7,5,71.43
Bagbag,DISTRICT 5,Childcare Facilities,7,0,0.0
Bagong Lipunan ng Crame,DISTRICT 4,Childcare Facilities,4,1,25.0
Bagong Pag-asa,DISTRICT 1,Childcare Facilities,5,0,0.0
Bagong Silangan,DISTRICT 2,Childcare Facilities,24,3,12.5
Bagumbayan,DISTRICT 3,Childcare Facilities,4,3,75.0
Bagumbuhay,DISTRICT 3,Childcare Facilities,2,1,50.0
Bahay Toro,DISTRICT 1,Childcare Facilities,21,3,14.29
Balingasa,DISTRICT 1,Childcare Facilities,5,1,20.0
Balong-bato,DISTRICT 6,Childcare Facilities,1,0,0.0
Batasan Hills,DISTRICT 2,Childcare Facilities,39,0,0.0
Bayanihan,DISTRICT 3,Childcare Facilities,3,0,0.0
Blue Ridge A,DISTRICT 3,Childcare Facilities,1,0,0.0
Blue Ridge B,DISTRICT 3,Childcare Facilities,1,1,100.0
Botocan,DISTRICT 4,Childcare Facilities,1,0,0.0
Bungad,DISTRICT 1,Childcare Facilities,7,0,0.0
Camp Aguinaldo,DISTRICT 3,Childcare Facilities,1,0,0.0
Capri,DISTRICT 5,Childcare Facilities,0,0,
Central,DISTRICT 4,Childcare Facilities,5,1,20.0
Claro (Quirino 3-B),DISTRICT 3,Childcare Facilities,1,0,0.0
Commonwealth,DISTRICT 2,Childcare Facilities,39,2,5.13
Culiat,DISTRICT 6,Childcare Facilities,8,3,37.5
Damar,DISTRICT 1,Childcare Facilities,0,0,
Damayan,DISTRICT 1,Childcare Facilities,2,0,0.0
Damayang Lagi,DISTRICT 4,Childcare Facilities,3,0,0.0
Del Monte,DISTRICT 1,Childcare Facilities,2,2,100.0
Dioquino Zobel,DISTRICT 3,Childcare Facilities,1,0,0.0
Don Manuel,DISTRICT 4,Childcare Facilities,3,1,33.33
Doña Aurora,DISTRICT 4,Childcare Facilities,3,0,0.0
Doña Imelda,DISTRICT 4,Childcare Facilities,5,5,100.0
Doña Josefa,DISTRICT 4,Childcare Facilities,4,1,25.0
Duyan-duyan,DISTRICT 3,Childcare Facilities,5,0,0.0
E. Rodriguez,DISTRICT 3,Childcare Facilities,7,1,14.29
East Kamias,DISTRICT 3,Childcare Facilities,1,1,100.0
Escopa 1,DISTRICT 3,Childcare Facilities,0,0,
Escopa 2,DISTRICT 3,Childcare Facilities,0,0,
Escopa 3,DISTRICT 3,Childcare Facilities,1,0,0.0
Escopa 4,DISTRICT 3,Childcare Facilities,2,0,0.0
Fairview,DISTRICT 5,Childcare Facilities,32,9,28.12
Greater Lagro,DISTRICT 5,Childcare Facilities,11,2,18.18
Gulod,DISTRICT 5,Childcare Facilities,10,3,30.0
Holy Spirit,DISTRICT 2,Childcare Facilities,32,2,6.25
Horseshoe,DISTRICT 4,Childcare Facilities,2,0,0.0
Immaculate Concepcion,DISTRICT 4,Childcare Facilities,4,0,0.0
Kaligayahan,DISTRICT 5,Childcare Facilities,12,1,8.33
Kalusugan,DISTRICT 4,Childcare Facilities,0,0,
Kamuning,DISTRICT 4,Childcare Facilities,3,1,33.33
Katipunan,DISTRICT 1,Childcare Facilities,1,1,100.0
Kaunlaran,DISTRICT 4,Childcare Facilities,2,0,0.0
Kristong Hari,DISTRICT 4,Childcare Facilities,2,1,50.0
Krus na Ligas,DISTRICT 4,Childcare Facilities,4,0,0.0
Laging Handa,DISTRICT 4,Childcare Facilities,3,0,0.0
Libis,DISTRICT 3,Childcare Facilities,1,0,0.0
Lourdes,DISTRICT 1,Childcare Facilities,4,0,0.0
Loyola Heights,DISTRICT 3,Childcare Facilities,16,5,31.25
Maharlika,DISTRICT 1,Childcare Facilities,4,2,50.0
Malaya,DISTRICT 4,Childcare Facilities,3,0,0.0
Mangga,DISTRICT 3,Childcare Facilities,1,1,100.0
Manresa,DISTRICT 1,Childcare Facilities,7,2,28.57
Mariana,DISTRICT 4,Childcare Facilities,9,0,0.0
Mariblo,DISTRICT 1,Childcare Facilities,3,3,100.0
Marilag,DISTRICT 3,Childcare Facilities,4,1,25.0
Masagana,DISTRICT 3,Childcare Facilities,1,0,0.0
Masambong,DISTRICT 1,Childcare Facilities,2,2,100.0
Matandang Balara,DISTRICT 3,Childcare Facilities,28,5,17.86
Milagrosa,DISTRICT 3,Childcare Facilities,7,1,14.29
N. S. Amoranto (Gintong Silahis),DISTRICT 1,Childcare Facilities,2,1,50.0
Nagkaisang Nayon,DISTRICT 5,Childcare Facilities,11,5,45.45
Nayong Kanluran,DISTRICT 1,Childcare Facilities,1,0,0.0
New Era,DISTRICT 6,Childcare Facilities,2,0,0.0
North Fairview,DISTRICT 5,Childcare Facilities,11,1,9.09
Novaliches Proper,DISTRICT 5,Childcare Facilities,8,3,37.5
Obrero,DISTRICT 4,Childcare Facilities,2,0,0.0
Old Capitol Site,DISTRICT 4,Childcare Facilities,0,0,
Paang Bundok,DISTRICT 1,Childcare Facilities,2,0,0.0
Pag-ibig sa Nayon,DISTRICT 1,Childcare Facilities,1,0,0.0
Paligsahan,DISTRICT 4,Childcare Facilities,6,0,0.0
Paltok,DISTRICT 1,Childcare Facilities,2,1,50.0
Pansol,DISTRICT 3,Childcare Facilities,4,1,25.0
Paraiso,DISTRICT 1,Childcare Facilities,0,0,
Pasong Putik Proper,DISTRICT 5,Childcare Facilities,7,2,28.57
Pasong Tamo,DISTRICT 6,Childcare Facilities,27,3,11.11
Payatas,DISTRICT 2,Childcare Facilities,28,0,0.0
Phil-Am,DISTRICT 1,Childcare Facilities,1,0,0.0
Pinagkaisahan,DISTRICT 4,Childcare Facilities,3,0,0.0
Pinyahan,DISTRICT 4,Childcare Facilities,3,0,0.0
Project 6,DISTRICT 1,Childcare Facilities,7,1,14.29
Quirino 2-A,DISTRICT 3,Childcare Facilities,2,1,50.0
Quirino 2-B,DISTRICT 3,Childcare Facilities,2,2,100.0
Quirino 2-C,DISTRICT 3,Childcare Facilities,0,0,
Quirino 3-A,DISTRICT 3,Childcare Facilities,1,0,0.0
Ramon Magsaysay,DISTRICT 1,Childcare Facilities,1,0,0.0
Reservoir,,Childcare Facilities,0,0,
Roxas,DISTRICT 4,Childcare Facilities,3,0,0.0
Sacred Heart,DISTRICT 4,Childcare Facilities,5,0,0.0
Salvacion,DISTRICT 1,Childcare Facilities,2,0,0.0
San Agustin,DISTRICT 5,Childcare Facilities,7,0,0.0
San Antonio,DISTRICT 1,Childcare Facilities,3,2,66.67
San Bartolome,DISTRICT 5,Childcare Facilities,14,3,21.43
San Isidro,DISTRICT 4,Childcare Facilities,2,0,0.0
San Isidro Labrador,DISTRICT 1,Childcare Facilities,2,1,50.0
San Jose,DISTRICT 1,Childcare Facilities,1,0,0.0
San Martin de Porres,DISTRICT 4,Childcare Facilities,0,0,
San Roque,DISTRICT 3,Childcare Facilities,2,0,0.0
San Vicente,DISTRICT 4,Childcare Facilities,2,1,50.0
Sangandaan,DISTRICT 6,Childcare Facilities,7,0,0.0
Santol,DISTRICT 4,Childcare Facilities,1,1,100.0
Sauyo,DISTRICT 6,Childcare Facilities,8,1,12.5
Sienna,DISTRICT 1,Childcare Facilities,3,3,100.0
Sikatuna Village,DISTRICT 4,Childcare Facilities,1,0,0.0
Silangan,DISTRICT 3,Childcare Facilities,4,3,75.0
Socorro,DISTRICT 3,Childcare Facilities,6,0,0.0
South Triangle,DISTRICT 4,Childcare Facilities,8,2,25.0
St. Ignatius,DISTRICT 3,Childcare Facilities,0,0,
St. Peter,DISTRICT 1,Childcare Facilities,0,0,
Sta. Cruz,DISTRICT 1,Childcare Facilities,2,1,50.0
Sta. Lucia,DISTRICT 5,Childcare Facilities,7,3,42.86
Sta. Monica,DISTRICT 5,Childcare Facilities,9,1,11.11
Sta. Teresita,DISTRICT 1,Childcare Facilities,3,0,0.0
Sto. Cristo,DISTRICT 1,Childcare Facilities,7,1,14.29
Sto. Domingo (Matalahib),DISTRICT 1,Childcare Facilities,3,3,100.0
